Host IP,DNS Hostname,NetBIOS Hostname,Tracking Method,Operating System,OS CPE,NETWORK,Last Scan Date,Evaluation Date,Control ID,Technology,Control,Criticality Label,Criticality Value,Instance,Status,Remediation,Deprecated,Evidence,Cause of Failure,Qualys Host ID
10.110.171.10,dc-t1.tlt.co.th,DC-T1,AGENT,Windows Server 2019 Standard 64 bit Edition AD Version 1809 Build 17763,cpe:/o:microsoft:windows_server_2019:1809::x64:,Global Default Network,11/26/2023 at 23:01:59 (GMT+0700),11/26/2023 at 23:17:08 (GMT+0700),3758,Windows 2019 Active Directory,Status of the 'Kerberos Policy: Maximum lifetime for user ticket renewal' security setting (in days) from the Resultant Set of Policy,CRITICAL,4,ad2019,Failed,,0,"The following Integer value(s) of <B>X</B> indicates the current status of the <B>Maximum lifetime for user ticket renewal</B> setting from the RSOP [Resultant Set of Policy] via WMI query defined by the Kerberos policies in Active Directory.

======Expected Value(s)======
less than or equal to
7

======Current Value(s) - Last updated: 11/26/2023 at 23:01:59 (GMT+0700)======
Setting not defined
","	======Unexpected values======
Setting not defined",aba548bb-579a-4986-8bac-748d66bba690
10.110.171.10,dc-t1.tlt.co.th,DC-T1,AGENT,Windows Server 2019 Standard 64 bit Edition AD Version 1809 Build 17763,cpe:/o:microsoft:windows_server_2019:1809::x64:,Global Default Network,11/26/2023 at 23:01:59 (GMT+0700),11/26/2023 at 23:17:08 (GMT+0700),3760,Windows 2019 Active Directory,Status of the 'Kerberos Policy: Maximum tolerance for computer clock synchronization' setting (in minutes) from the Resultant Set of Policy,CRITICAL,4,ad2019,Failed,,0,"The following Integer value(s) of <B>X</B> indicates the current status of the <B>Maximum tolerance for computer clock synchronization</B> setting from the RSOP [Resultant Set of Policy] via WMI query.

======Expected Value(s)======
less than or equal to
5

======Current Value(s) - Last updated: 11/26/2023 at 23:01:59 (GMT+0700)======
Setting not defined
","	======Unexpected values======
Setting not defined",aba548bb-579a-4986-8bac-748d66bba690
10.110.172.10,dc-t2.tlt.co.th,DC-T2,AGENT,Microsoft Windows Server 2019 Standard 10.0.17763 64-bit N/A Build 17763,cpe:/o:microsoft:windows_server_2019:1809::x64:,Global Default Network,11/26/2023 at 23:05:42 (GMT+0700),11/26/2023 at 23:14:19 (GMT+0700),3739,Windows 2019 Active Directory,Status of the 'Kerberos policy: Maximum lifetime for service ticket' setting from the Resultant Set of Policy,CRITICAL,4,ad2019,Failed,,0,"The following Integer value(s) of <B>X</B> indicates the current status of the <B>Maximum Lifetime for a Service Ticket</B> setting from the RSOP [Resultant Set of Policy] via WMI query defined by the Kerberos policies in Active Directory.

======Expected Value(s)======
less than or equal to
600

======Current Value(s) - Last updated: 11/26/2023 at 22:39:43 (GMT+0700)======
Setting not defined
","	======Unexpected values======
Setting not defined",d2f3d70b-393e-42a1-89b5-dee51abf7f4d
10.110.172.10,dc-t2.tlt.co.th,DC-T2,AGENT,Microsoft Windows Server 2019 Standard 10.0.17763 64-bit N/A Build 17763,cpe:/o:microsoft:windows_server_2019:1809::x64:,Global Default Network,11/26/2023 at 23:05:42 (GMT+0700),11/26/2023 at 23:14:19 (GMT+0700),3740,Windows 2019 Active Directory,Status of the 'Kerberos policy: Maximum lifetime for user ticket' setting from the Resultant Set of Policy,CRITICAL,4,ad2019,Failed,,0,"The following Integer value(s) of <B>X</B> indicates the current status of the <B>Maximum Lifetime of a Ticket Granting Ticket/User Ticket</B> setting from the RSOP [Resultant Set of Policy] via WMI query defined by the Kerberos policies in Active Directory.

======Expected Value(s)======
less than or equal to
10

======Current Value(s) - Last updated: 11/26/2023 at 22:39:43 (GMT+0700)======
Setting not defined
","	======Unexpected values======
Setting not defined",d2f3d70b-393e-42a1-89b5-dee51abf7f4d
10.110.172.10,dc-t2.tlt.co.th,DC-T2,AGENT,Microsoft Windows Server 2019 Standard 10.0.17763 64-bit N/A Build 17763,cpe:/o:microsoft:windows_server_2019:1809::x64:,Global Default Network,11/26/2023 at 23:05:42 (GMT+0700),11/26/2023 at 23:14:19 (GMT+0700),3758,Windows 2019 Active Directory,Status of the 'Kerberos Policy: Maximum lifetime for user ticket renewal' security setting (in days) from the Resultant Set of Policy,CRITICAL,4,ad2019,Failed,,0,"The following Integer value(s) of <B>X</B> indicates the current status of the <B>Maximum lifetime for user ticket renewal</B> setting from the RSOP [Resultant Set of Policy] via WMI query defined by the Kerberos policies in Active Directory.

======Expected Value(s)======
less than or equal to
7

======Current Value(s) - Last updated: 11/26/2023 at 22:39:43 (GMT+0700)======
Setting not defined
","	======Unexpected values======
Setting not defined",d2f3d70b-393e-42a1-89b5-dee51abf7f4d
10.110.172.10,dc-t2.tlt.co.th,DC-T2,AGENT,Microsoft Windows Server 2019 Standard 10.0.17763 64-bit N/A Build 17763,cpe:/o:microsoft:windows_server_2019:1809::x64:,Global Default Network,11/26/2023 at 23:05:42 (GMT+0700),11/26/2023 at 23:14:19 (GMT+0700),3760,Windows 2019 Active Directory,Status of the 'Kerberos Policy: Maximum tolerance for computer clock synchronization' setting (in minutes) from the Resultant Set of Policy,CRITICAL,4,ad2019,Failed,,0,"The following Integer value(s) of <B>X</B> indicates the current status of the <B>Maximum tolerance for computer clock synchronization</B> setting from the RSOP [Resultant Set of Policy] via WMI query.

======Expected Value(s)======
less than or equal to
5

======Current Value(s) - Last updated: 11/26/2023 at 22:39:43 (GMT+0700)======
Setting not defined
","	======Unexpected values======
Setting not defined",d2f3d70b-393e-42a1-89b5-dee51abf7f4d
10.112.100.10,dc-n1.tlt.co.th,DC-N1,AGENT,Windows Server 2019 Standard 64 bit Edition AD Version 1809 Build 17763,cpe:/o:microsoft:windows_server_2019:1809::x64:,Global Default Network,11/26/2023 at 23:30:52 (GMT+0700),11/26/2023 at 23:40:53 (GMT+0700),3739,Windows 2019 Active Directory,Status of the 'Kerberos policy: Maximum lifetime for service ticket' setting from the Resultant Set of Policy,CRITICAL,4,ad2019,Failed,,0,"The following Integer value(s) of <B>X</B> indicates the current status of the <B>Maximum Lifetime for a Service Ticket</B> setting from the RSOP [Resultant Set of Policy] via WMI query defined by the Kerberos policies in Active Directory.

======Expected Value(s)======
less than or equal to
600

======Current Value(s) - Last updated: 11/26/2023 at 23:30:52 (GMT+0700)======
Setting not defined
","	======Unexpected values======
Setting not defined",db26df28-b938-410a-a6bb-b83c47040384
10.112.100.10,dc-n1.tlt.co.th,DC-N1,AGENT,Windows Server 2019 Standard 64 bit Edition AD Version 1809 Build 17763,cpe:/o:microsoft:windows_server_2019:1809::x64:,Global Default Network,11/26/2023 at 23:30:52 (GMT+0700),11/26/2023 at 23:40:53 (GMT+0700),3740,Windows 2019 Active Directory,Status of the 'Kerberos policy: Maximum lifetime for user ticket' setting from the Resultant Set of Policy,CRITICAL,4,ad2019,Failed,,0,"The following Integer value(s) of <B>X</B> indicates the current status of the <B>Maximum Lifetime of a Ticket Granting Ticket/User Ticket</B> setting from the RSOP [Resultant Set of Policy] via WMI query defined by the Kerberos policies in Active Directory.

======Expected Value(s)======
less than or equal to
10

======Current Value(s) - Last updated: 11/26/2023 at 23:30:52 (GMT+0700)======
Setting not defined
","	======Unexpected values======
Setting not defined",db26df28-b938-410a-a6bb-b83c47040384
10.112.100.10,dc-n1.tlt.co.th,DC-N1,AGENT,Windows Server 2019 Standard 64 bit Edition AD Version 1809 Build 17763,cpe:/o:microsoft:windows_server_2019:1809::x64:,Global Default Network,11/26/2023 at 23:30:52 (GMT+0700),11/26/2023 at 23:40:53 (GMT+0700),3758,Windows 2019 Active Directory,Status of the 'Kerberos Policy: Maximum lifetime for user ticket renewal' security setting (in days) from the Resultant Set of Policy,CRITICAL,4,ad2019,Failed,,0,"The following Integer value(s) of <B>X</B> indicates the current status of the <B>Maximum lifetime for user ticket renewal</B> setting from the RSOP [Resultant Set of Policy] via WMI query defined by the Kerberos policies in Active Directory.

======Expected Value(s)======
less than or equal to
7

======Current Value(s) - Last updated: 11/26/2023 at 23:30:52 (GMT+0700)======
Setting not defined
","	======Unexpected values======
Setting not defined",db26df28-b938-410a-a6bb-b83c47040384
10.112.100.10,dc-n1.tlt.co.th,DC-N1,AGENT,Windows Server 2019 Standard 64 bit Edition AD Version 1809 Build 17763,cpe:/o:microsoft:windows_server_2019:1809::x64:,Global Default Network,11/26/2023 at 23:30:52 (GMT+0700),11/26/2023 at 23:40:53 (GMT+0700),3760,Windows 2019 Active Directory,Status of the 'Kerberos Policy: Maximum tolerance for computer clock synchronization' setting (in minutes) from the Resultant Set of Policy,CRITICAL,4,ad2019,Failed,,0,"The following Integer value(s) of <B>X</B> indicates the current status of the <B>Maximum tolerance for computer clock synchronization</B> setting from the RSOP [Resultant Set of Policy] via WMI query.

======Expected Value(s)======
less than or equal to
5

======Current Value(s) - Last updated: 11/26/2023 at 23:30:52 (GMT+0700)======
Setting not defined
","	======Unexpected values======
Setting not defined",db26df28-b938-410a-a6bb-b83c47040384
10.113.100.10,dc-r1.tlt.co.th,DC-R1,AGENT,Windows Server 2019 Standard 64 bit Edition AD Version 1809 Build 17763,cpe:/o:microsoft:windows_server_2019:1809::x64:,Global Default Network,11/27/2023 at 03:52:32 (GMT+0700),11/27/2023 at 04:02:34 (GMT+0700),4494,Windows 2019 Server,Status of the audit setting 'Sensitive Privilege Use' (advanced audit setting),CRITICAL,4,os,Failed,,0,"This Integer value <B>X</B> indicates the current status of the <B>Detailed Security Auditing (DSA)</B> settings for the <B>Sensitive Privilege Use</B> object.  A value of <B>0</B> indicates that DSA is set to <B>no auditing</B>; a value of <B>1</B> indicates that DSA is set to <B>success</B>; a value of <B>2</B> indicates that DSA is set to <B>failure</B>; a value of <B>3</B> indicates that DSA is set to <B>success and failure</B>.

======Expected Value(s)======
Success and Failure (3)

======Current Value(s) - Last updated: 11/27/2023 at 03:52:32 (GMT+0700)======
No Auditing (0)
","	======Unexpected values======
No Auditing (0)",44ea309d-526f-489e-b3b2-bbe9542f3618
10.113.100.10,dc-r1.tlt.co.th,DC-R1,AGENT,Windows Server 2019 Standard 64 bit Edition AD Version 1809 Build 17763,cpe:/o:microsoft:windows_server_2019:1809::x64:,Global Default Network,11/27/2023 at 03:52:32 (GMT+0700),11/27/2023 at 04:02:34 (GMT+0700),3897,Windows 2019 Server,Status of 'Enumerate administrator accounts on elevation' setting,CRITICAL,4,os,Failed,,0,"The following Integer value <B>X</B> indicates the status of the <B>Enumerate administrator accounts on elevation</B> setting configured on the host, using the <B>HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\Policies\CredUI\'EnumerateAdministrators'</B> registry key. A value of <B>1</B> indicates the setting is <B>Enabled</B>; a value of <B>0</B> indicates the setting is <B>Disabled</B>.

======Expected Value(s)======
Disabled (0)

======Current Value(s) - Last updated: 11/27/2023 at 03:52:32 (GMT+0700)======
Key not found

======Permission Translation======
D : Create link 
 E : Notify 
 F :  Enumerate subkeys 
G : Create subkeys 
H : Set value 
 I : Query value 
 J : Delete 
 K : Write DAC 
 L : Write owner 
 M : Read control
","	======Unexpected values======
Key not found
======Missing values======
Disabled (0)",44ea309d-526f-489e-b3b2-bbe9542f3618
10.113.100.10,dc-r1.tlt.co.th,DC-R1,AGENT,Windows Server 2019 Standard 64 bit Edition AD Version 1809 Build 17763,cpe:/o:microsoft:windows_server_2019:1809::x64:,Global Default Network,11/27/2023 at 03:52:32 (GMT+0700),11/27/2023 at 04:02:34 (GMT+0700),3891,Windows 2019 Server,Status of the 'Always prompt for password upon connection' setting (Terminal Services),CRITICAL,4,os,Failed,,0,"The following Integer value <B>X</B> indicates the status of the <B>Always prompt for password upon connection</B> setting configured on the host, using the <B>HKEY_LOCAL_MACHINE\SOFTWARE\Policies\Microsoft\Windows NT\Terminal Services\'fPromptForPassword'</B> registry key. A value of <B>1</B> indicates the setting is <B>Enabled</B>; a value of <B>0</B> indicates the setting is <B>Disabled</B>.

======Expected Value(s)======
Disabled (0)

======Current Value(s) - Last updated: 11/27/2023 at 03:52:32 (GMT+0700)======
Key not found

======Permission Translation======
D : Create link 
 E : Notify 
 F :  Enumerate subkeys 
G : Create subkeys 
H : Set value 
 I : Query value 
 J : Delete 
 K : Write DAC 
 L : Write owner 
 M : Read control
","	======Unexpected values======
Key not found",44ea309d-526f-489e-b3b2-bbe9542f3618
10.113.100.10,dc-r1.tlt.co.th,DC-R1,AGENT,Windows Server 2019 Standard 64 bit Edition AD Version 1809 Build 17763,cpe:/o:microsoft:windows_server_2019:1809::x64:,Global Default Network,11/27/2023 at 03:52:32 (GMT+0700),11/27/2023 at 04:02:34 (GMT+0700),3739,Windows 2019 Active Directory,Status of the 'Kerberos policy: Maximum lifetime for service ticket' setting from the Resultant Set of Policy,CRITICAL,4,ad2019,Failed,,0,"The following Integer value(s) of <B>X</B> indicates the current status of the <B>Maximum Lifetime for a Service Ticket</B> setting from the RSOP [Resultant Set of Policy] via WMI query defined by the Kerberos policies in Active Directory.

======Expected Value(s)======
less than or equal to
600

======Current Value(s) - Last updated: 11/26/2023 at 17:09:15 (GMT+0700)======
Setting not defined
","	======Unexpected values======
Setting not defined",44ea309d-526f-489e-b3b2-bbe9542f3618
10.113.100.10,dc-r1.tlt.co.th,DC-R1,AGENT,Windows Server 2019 Standard 64 bit Edition AD Version 1809 Build 17763,cpe:/o:microsoft:windows_server_2019:1809::x64:,Global Default Network,11/27/2023 at 03:52:32 (GMT+0700),11/27/2023 at 04:02:34 (GMT+0700),3740,Windows 2019 Active Directory,Status of the 'Kerberos policy: Maximum lifetime for user ticket' setting from the Resultant Set of Policy,CRITICAL,4,ad2019,Failed,,0,"The following Integer value(s) of <B>X</B> indicates the current status of the <B>Maximum Lifetime of a Ticket Granting Ticket/User Ticket</B> setting from the RSOP [Resultant Set of Policy] via WMI query defined by the Kerberos policies in Active Directory.

======Expected Value(s)======
less than or equal to
10

======Current Value(s) - Last updated: 11/26/2023 at 17:09:15 (GMT+0700)======
Setting not defined
","	======Unexpected values======
Setting not defined",44ea309d-526f-489e-b3b2-bbe9542f3618
10.113.100.10,dc-r1.tlt.co.th,DC-R1,AGENT,Windows Server 2019 Standard 64 bit Edition AD Version 1809 Build 17763,cpe:/o:microsoft:windows_server_2019:1809::x64:,Global Default Network,11/27/2023 at 03:52:32 (GMT+0700),11/27/2023 at 04:02:34 (GMT+0700),3758,Windows 2019 Active Directory,Status of the 'Kerberos Policy: Maximum lifetime for user ticket renewal' security setting (in days) from the Resultant Set of Policy,CRITICAL,4,ad2019,Failed,,0,"The following Integer value(s) of <B>X</B> indicates the current status of the <B>Maximum lifetime for user ticket renewal</B> setting from the RSOP [Resultant Set of Policy] via WMI query defined by the Kerberos policies in Active Directory.

======Expected Value(s)======
less than or equal to
7

======Current Value(s) - Last updated: 11/26/2023 at 17:09:15 (GMT+0700)======
Setting not defined
","	======Unexpected values======
Setting not defined",44ea309d-526f-489e-b3b2-bbe9542f3618
10.113.100.10,dc-r1.tlt.co.th,DC-R1,AGENT,Windows Server 2019 Standard 64 bit Edition AD Version 1809 Build 17763,cpe:/o:microsoft:windows_server_2019:1809::x64:,Global Default Network,11/27/2023 at 03:52:32 (GMT+0700),11/27/2023 at 04:02:34 (GMT+0700),3760,Windows 2019 Active Directory,Status of the 'Kerberos Policy: Maximum tolerance for computer clock synchronization' setting (in minutes) from the Resultant Set of Policy,CRITICAL,4,ad2019,Failed,,0,"The following Integer value(s) of <B>X</B> indicates the current status of the <B>Maximum tolerance for computer clock synchronization</B> setting from the RSOP [Resultant Set of Policy] via WMI query.

======Expected Value(s)======
less than or equal to
5

======Current Value(s) - Last updated: 11/26/2023 at 17:09:15 (GMT+0700)======
Setting not defined
","	======Unexpected values======
Setting not defined",44ea309d-526f-489e-b3b2-bbe9542f3618
10.113.100.10,dc-r1.tlt.co.th,DC-R1,AGENT,Windows Server 2019 Standard 64 bit Edition AD Version 1809 Build 17763,cpe:/o:microsoft:windows_server_2019:1809::x64:,Global Default Network,11/27/2023 at 03:52:32 (GMT+0700),11/27/2023 at 04:02:34 (GMT+0700),2391,Windows 2019 Server,Current list of Groups and User Accounts granted the 'Allow log on locally (SeInteractiveLogonRight)' right,URGENT,5,os,Failed,,0,"The following List String value(s) <B>X</B> indicate the current <B>Groups and User Accounts</B> granted the <B>Computer Configuration\Windows Settings\Security Settings\Local Policies\User Rights Assignment\Allow log on locally(SeInteractiveLogonRight)</B> right.

======Expected Value(s)======
matches regular expression list
Administrators
Backup Operators

======Current Value(s) - Last updated: 11/27/2023 at 03:52:32 (GMT+0700)======
BUILTIN\Backup Operators
BUILTIN\Administrators
BUILTIN\Users
","	======Unexpected values======
BUILTIN\Users",44ea309d-526f-489e-b3b2-bbe9542f3618
10.113.100.10,dc-r1.tlt.co.th,DC-R1,AGENT,Windows Server 2019 Standard 64 bit Edition AD Version 1809 Build 17763,cpe:/o:microsoft:windows_server_2019:1809::x64:,Global Default Network,11/27/2023 at 03:52:32 (GMT+0700),11/27/2023 at 04:02:34 (GMT+0700),2383,Windows 2019 Server,Current list of Groups and User Accounts granted the 'Enable computer and user accounts to be trusted for delegation' right,URGENT,5,os,Failed,,0,"The following List String value(s) <B>X</B> indicate the current list of  <B>Enable computer and user accounts to be trusted for delegation</B> granted the<B>Computer Configuration\Windows Settings\Security Settings\Local Policies\User Rights Assignment\Enable computer and user accounts to be trusted for delegation(SeEnableDelegationPrivilege)</B> right.

======Expected Value(s)======
Right not assigned
------------ OR ------------
matches regular expression list


======Current Value(s) - Last updated: 11/27/2023 at 03:52:32 (GMT+0700)======
BUILTIN\Administrators
","	======Unexpected values======
BUILTIN\Administrators
======Missing values======

------------ OR ------------
Right not assigned",44ea309d-526f-489e-b3b2-bbe9542f3618
10.113.100.10,dc-r1.tlt.co.th,DC-R1,AGENT,Windows Server 2019 Standard 64 bit Edition AD Version 1809 Build 17763,cpe:/o:microsoft:windows_server_2019:1809::x64:,Global Default Network,11/27/2023 at 03:52:32 (GMT+0700),11/27/2023 at 04:02:34 (GMT+0700),2642,Windows 2019 Server,Current list of Groups and User Accounts granted the 'Impersonate a client after authentication' right,CRITICAL,4,os,Failed,,0,"The following List String value(s) <B>X</B> indicate the current <B>Groups and User Accounts</B> granted the <B>Computer Configuration\Windows Settings\Security Settings\Local Policies\User Rights Assignment\Impersonate a client after authentication</B> right.

======Expected Value(s)======
matches regular expression list
Administrators
SERVICE
LOCAL SERVICE
NETWORK SERVICE

======Current Value(s) - Last updated: 11/27/2023 at 03:52:32 (GMT+0700)======
BUILTIN\Administrators
NT AUTHORITY\SERVICE
NT AUTHORITY\NETWORK SERVICE
NT AUTHORITY\LOCAL SERVICE
BUILTIN\IIS_IUSRS
","	======Unexpected values======
BUILTIN\IIS_IUSRS",44ea309d-526f-489e-b3b2-bbe9542f3618
